TaxonConceptID,Parent,TaxonName,AuthorName,Level
1,,Lemnetea minoris,Koch & TÅxen ex den Hartog & Segal 1964,class
2,1,Salvinio-Eichhornietalia,"Borhidi ex Borhidi, Mu§iz & del Risco 1979",order
3,2,Pistion stratiotes,(Schmitz 1971) Schmitz 1988,alliance
4,3,Lemno paucicostatae-Pistietum stratiotes,Lebrun 1947,association
5,,Potametea,Klika ex Klika & Nov†k 1941,class
6,5,Nymphaeetalia loti,Lebrun 1947,order
7,6,Nymphaeion loti,Lebrun 1947,alliance
8,7,Nymphaeetum loti,Lebrun 1947,association
9,,Phragmito-Magno-Caricetea,Klika ex Klika & Nov†k 1941,class
10,9,Cyperetalia papyri,(Lebrun 1947) Alvarez 2017,order
11,10,Cyperion papyri,(Lebrun 1947) Alvarez 2017,alliance
12,11,Cypero papyro-Dryopteridetum gongylodes,(Germain 1951) Schmitz 1963,association
13,9,Ipomoeo aquaticae-Typhetum domingensis,Alvarez 2017,association
14,9,Leersio hexandrae-Cyperetum exaltati,Alvarez 2017,association
15,9,Phragmitetalia communis,Koch 1926,order
16,15,Phragmition communis,Koch 1926,alliance
17,16,Phragmitetum mauritiani,(Lebrun 1947) Schmitz 1988,association
18,16,Pycreo polystachyos-Panicetum subalbidum,Alvarez 2017,association
19,15,Magno-Cyperion divitis,(Lebrun 1947) Schmitz 1988,alliance
20,19,Cyperetum latifolii,(Germain 1951) Schmitz 1988,association
21,15,Echinochloion crus-pavonis,(LÇonard 1950) Schmitz 1988,alliance
22,21,Ammannio prieurianae-Ethulietum conyzoides,Alvarez 2017,association
23,,Oryzetea sativae,Miyawaki 1960,class
24,23,Amarantho-Ecliptetalia,Schmitz 1971,order
25,24,Ecliption albae,Lebrun 1947,alliance
26,25,Centrostachyo aquaticae-Persicarietum senegalensis,Alvarez 2017,association
