TaxonConceptID,TaxonName,AuthorName
1,Stratiotetea,den Hartog & Segal 1964
3,Pistion pantropicale,Schmitz 1971
8,Utriculario-Nymphaeetum,(Lebrun 1947) LÇonard 1950
8,Utriculario exoletae-Nymphaeetum loti,Szafranski & Apema 1983
9,Phragmitetea,TÅxen & Preising 1942
10,Papyretalia,Lebrun 1947
11,Papyrion,Lebrun 1947
17,Phragmitetum afro-lacustre,Lebrun 1947
19,Magno-Cyperion africanum,Lebrun 1947
21,Echinochloion tropicale,LÇonard 1950
25,Ecliption prostratae,(Lebrun 1947) Mandango 1982
